site,window_start,Ion,Concentration
BQ1,1986-05-20,no3_ugl,113.66666666666667
BQ1,1986-05-20,nh4_ugl,NA
BQ1,1986-05-20,k_mgl,0.8166666666666667
BQ1,1986-05-20,mg_mgl,3.1066666666666665
BQ1,1986-05-20,ca_mgl,3.9366666666666665
BQ1,1986-07-22,no3_ugl,NA
BQ1,1986-07-22,nh4_ugl,NA
BQ1,1986-07-22,k_mgl,NA
BQ1,1986-07-22,mg_mgl,NA
BQ1,1986-07-22,ca_mgl,NA
BQ1,1986-09-23,no3_ugl,126.66666666666667
BQ1,1986-09-23,nh4_ugl,25.4
BQ1,1986-09-23,k_mgl,0.656
BQ1,1986-09-23,mg_mgl,2.69
BQ1,1986-09-23,ca_mgl,4.368
BQ1,1986-11-25,no3_ugl,154.33333333333334
BQ1,1986-11-25,nh4_ugl,21.75
BQ1,1986-11-25,k_mgl,0.6744444444444444
BQ1,1986-11-25,mg_mgl,2.5877777777777777
BQ1,1986-11-25,ca_mgl,3.78
BQ1,1987-01-27,no3_ugl,132.22222222222223
BQ1,1987-01-27,nh4_ugl,18.4
BQ1,1987-01-27,k_mgl,0.7244444444444444
BQ1,1987-01-27,mg_mgl,2.977777777777778
BQ1,1987-01-27,ca_mgl,4.166666666666667
BQ1,1987-03-31,no3_ugl,146.44444444444446
BQ1,1987-03-31,nh4_ugl,41.66666666666667
BQ1,1987-03-31,k_mgl,0.8466666666666667
BQ1,1987-03-31,mg_mgl,2.4299999999999997
BQ1,1987-03-31,ca_mgl,3.7566666666666664
BQ1,1987-06-02,no3_ugl,157.66666666666666
BQ1,1987-06-02,nh4_ugl,73.77777777777777
BQ1,1987-06-02,k_mgl,0.8077777777777778
BQ1,1987-06-02,mg_mgl,2.522222222222222
BQ1,1987-06-02,ca_mgl,3.893333333333333
BQ1,1987-08-04,no3_ugl,182.30769230769232
BQ1,1987-08-04,nh4_ugl,44.53846153846154
BQ1,1987-08-04,k_mgl,0.77
BQ1,1987-08-04,mg_mgl,2.1716666666666664
BQ1,1987-08-04,ca_mgl,3.3666666666666667
BQ1,1987-10-06,no3_ugl,163.77777777777777
BQ1,1987-10-06,nh4_ugl,16.25
BQ1,1987-10-06,k_mgl,0.737
BQ1,1987-10-06,mg_mgl,2.349
BQ1,1987-10-06,ca_mgl,3.726
BQ1,1987-12-08,no3_ugl,162.33333333333334
BQ1,1987-12-08,nh4_ugl,24
BQ1,1987-12-08,k_mgl,0.7873333333333333
BQ1,1987-12-08,mg_mgl,2.0086666666666666
BQ1,1987-12-08,ca_mgl,3.2173333333333334
BQ1,1988-02-09,no3_ugl,206.9375
BQ1,1988-02-09,nh4_ugl,20.6875
BQ1,1988-02-09,k_mgl,0.90125
BQ1,1988-02-09,mg_mgl,1.99375
BQ1,1988-02-09,ca_mgl,3.10375
BQ1,1988-04-12,no3_ugl,151.7
BQ1,1988-04-12,nh4_ugl,64.2
BQ1,1988-04-12,k_mgl,0.8766666666666667
BQ1,1988-04-12,mg_mgl,2.251
BQ1,1988-04-12,ca_mgl,3.19
BQ1,1988-06-14,no3_ugl,NA
BQ1,1988-06-14,nh4_ugl,113
BQ1,1988-06-14,k_mgl,0.7655555555555555
BQ1,1988-06-14,mg_mgl,2.267
BQ1,1988-06-14,ca_mgl,3.2977777777777777
BQ1,1988-08-16,no3_ugl,93.83333333333334
BQ1,1988-08-16,nh4_ugl,37.2
BQ1,1988-08-16,k_mgl,0.7553846153846154
